"Start Time","Track","Series","Hosted Session Name"
"2020.11.29 11:25 AM GMT","Sebring International Raceway - International","Hosted iRacing","24HE / Round 2 / Race"

"Fin Pos","Car ID","Car","Car Class ID","Car Class","Team ID","Cust ID","Name","Start Pos","Car #","Out ID","Out","Interval","Laps Led","Qualify Time","Average Lap Time","Fastest Lap Time","Fast Lap#","Laps Comp","Inc","Club ID","Club","Max Fuel Fill%","Weight Penalty (KG)","Session Name"
"19","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-79715","42739","Robin Östlund","23","907","0","Running","-","0","","2:05.127","2:03.071","19","60","5","43","Scandinavia","100","0","24HE / Round 2 / Race"
"19","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-79715","143617","Henrik Lindoff","23","907","0","Running","-","0","","2:04.312","2:03.142","54","60","4","43","Scandinavia","100","0","24HE / Round 2 / Race"
"19","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-79715","286284","Joakim Vennström","23","907","0","Running","-","0","","2:04.741","2:03.375","97","52","7","43","Scandinavia","100","0","24HE / Round 2 / Race"
"20","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-39825","-39825","GTL-VRT RED","25","979","0","Running","-4 L","0","","2:05.605","2:03.139","133","172","16","","","100","0","24HE / Round 2 / Race"
"20","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-39825","124138","Rafal Drzaszcz","25","979","0","Running","-","0","","2:04.714","2:03.139","133","54","4","36","UK and I","100","0","24HE / Round 2 / Race"
"20","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-39825","193176","Piotr Smialek","25","979","0","Running","-","0","","2:05.579","2:03.219","84","60","2","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"20","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-39825","371922","Jaroslaw Cebula","25","979","0","Running","-","0","","2:06.431","2:03.314","54","58","10","36","UK and I","100","0","24HE / Round 2 / Race"
"21","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-136282","-136282","YMCA Esports","24","999","0","Running","-4 L","0","","2:05.877","2:03.118","27","172","12","","","100","0","24HE / Round 2 / Race"
"21","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-136282","94165","Ville Iivanainen","24","999","0","Running","-","0","","2:05.837","2:03.356","88","60","4","44","Finland","100","0","24HE / Round 2 / Race"
"21","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-136282","323061","Kimmo Rovanperä","24","999","0","Running","-","0","","2:05.898","2:03.118","27","112","8","44","Finland","100","0","24HE / Round 2 / Race"
"22","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-196763","-196763","WoIP.com Volante Racing","28","927","0","Running","-5 L","0","","2:05.158","2:03.165","51","171","18","","","100","0","24HE / Round 2 / Race"
"22","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-196763","365706","Michael Pedersen3","28","927","0","Running","-","0","","2:05.208","2:03.165","51","115","10","43","Scandinavia","100","0","24HE / Round 2 / Race"
"22","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-196763","376202","Elom Boccorh","28","927","0","Running","-","0","","2:05.053","2:03.856","68","56","8","36","UK and I","100","0","24HE / Round 2 / Race"
"23","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-136902","-136902","Atlantis Racing Team","29","939","0","Running","-6 L","0","","2:06.384","2:03.725","15","170","19","","","100","0","24HE / Round 2 / Race"
"23","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-136902","320106","Pawel Kowalik","29","939","0","Running","-","0","","2:06.630","2:03.725","15","85","4","46","Central-Eastern Europe","100","0","24HE / Round 2 / Race"
"23","88","Porsche 911 GT3 Cup (991)","95","Porsche 911 GT3 Cup","-136902","350705","Miroslaw Nastalczyk","29","939","0","Running","-","0","","2:06.135","2:03.799","82","85","15","36","UK and I","100","0","24HE / Round 2 / Race"
"24","122","BMW M4 GT4","2268","GT4 Class","-196125","-196125","SRC Squadra Corse White","30","446","0","Running","-12 L","0","","2:11.841","2:10.039","85","164","23","","","100","0","24HE / Round 2 / Race"
"24","122","BMW M4 GT4","2268","GT4 Class","-196125","121280","Emanuele Petri","30","446","0","Running","-","0","","2:11.935","2:10.039","85","80","15","41","Italy","100","0","24HE / Round 2 / Race"
"24","122","BMW M4 GT4","2268","GT4 Class","-196125","353756","Camillo Pezzoli","30","446","0","Running","-","0","","2:11.750","2:10.256","42","84","8","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"25","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-196177","-196177","Puresims Esports","31","416","0","Running","-12 L","0","","2:11.968","2:10.563","107","164","17","","","100","0","24HE / Round 2 / Race"
"25","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-196177","233572","Matthew Turnbull","31","416","0","Running","-","0","","2:12.160","2:10.563","107","81","8","36","UK and I","100","0","24HE / Round 2 / Race"
"25","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-196177","263249","Ashley Finch","31","416","0","Running","-","0","","2:11.779","2:10.870","63","83","9","36","UK and I","100","0","24HE / Round 2 / Race"
"26","122","BMW M4 GT4","2268","GT4 Class","-10081","-10081","BS  COMPETITION","32","489","0","Running","-13 L","0","","2:12.142","2:10.198","2","163","11","","","100","0","24HE / Round 2 / Race"
"26","122","BMW M4 GT4","2268","GT4 Class","-10081","376581","Marius Zug","32","489","0","Running","-","0","","2:12.448","2:11.246","42","85","6","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"26","122","BMW M4 GT4","2268","GT4 Class","-10081","383318","Ryan Barneveld2","32","489","0","Running","-","0","","2:11.812","2:10.198","2","78","5","40","Benelux","100","0","24HE / Round 2 / Race"
"27","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-80950","-80950","Torque Freak Racing by TFRLAB","36","481","0","Running","-13 L","0","","2:12.191","2:11.029","78","163","18","","","100","0","24HE / Round 2 / Race"
"27","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-80950","33098","Tim Claessens","36","481","0","Running","-","0","","2:11.933","2:11.029","78","81","13","40","Benelux","100","0","24HE / Round 2 / Race"
"27","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-80950","143614","Antti Salminen","36","481","0","Running","-","0","","2:12.443","2:11.097","111","82","5","44","Finland","100","0","24HE / Round 2 / Race"
"28","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-10269","-10269","SRN Motorsports","41","474","0","Running","-13 L","0","","2:12.782","2:11.152","77","163","8","","","100","0","24HE / Round 2 / Race"
"28","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-10269","47163","Steven McGarvey","41","474","0","Running","-","0","","2:12.538","2:11.152","77","83","6","15","Canada","100","0","24HE / Round 2 / Race"
"28","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-10269","52740","Jason Gerard","41","474","0","Running","-","0","","2:13.033","2:11.513","85","80","2","14","New York","100","0","24HE / Round 2 / Race"
"29","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-197760","-197760","E-Game Racing","34","401","0","Running","-13 L","0","","2:12.934","2:11.305","36","163","30","","","100","0","24HE / Round 2 / Race"
"29","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-197760","117607","Tomas Koreny","34","401","0","Running","-","0","","2:13.024","2:11.305","36","81","20","46","Central-Eastern Europe","100","0","24HE / Round 2 / Race"
"29","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-197760","120693","Martin Sirotek","34","401","0","Running","-","0","","2:12.845","2:11.522","78","82","10","46","Central-Eastern Europe","100","0","24HE / Round 2 / Race"
"30","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-197153","-197153","Team Vikings - Brage","38","421","0","Running","-14 L","0","","2:13.219","2:10.991","24","162","13","","","100","0","24HE / Round 2 / Race"
"30","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-197153","216429","Marius Berg","38","421","0","Running","-","0","","2:12.728","2:11.491","78","41","3","43","Scandinavia","100","0","24HE / Round 2 / Race"
"30","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-197153","297705","Thomas Wangen","38","421","0","Running","-","0","","2:13.403","2:10.991","24","40","6","43","Scandinavia","100","0","24HE / Round 2 / Race"
"30","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-197153","467622","Roger Fjeldstad Kristiansen","38","421","0","Running","-","0","","2:13.372","2:11.400","126","81","4","43","Scandinavia","100","0","24HE / Round 2 / Race"
"31","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-127473","-127473","Hellracers Tershine","37","441","0","Running","-14 L","0","","2:12.934","2:11.374","61","162","23","","","100","0","24HE / Round 2 / Race"
"31","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-127473","91787","Philip Johansson","37","441","0","Running","-","0","","2:12.818","2:11.374","61","83","9","43","Scandinavia","100","0","24HE / Round 2 / Race"
"31","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-127473","143191","Wilhelm Wiberg","37","441","0","Running","-","0","","2:13.054","2:11.412","112","79","14","43","Scandinavia","100","0","24HE / Round 2 / Race"
"32","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-196421","-196421","Buttler-Pal Motorsport $Chrome","39","434","0","Running","-15 L","0","","2:13.771","2:11.357","24","161","26","","","100","0","24HE / Round 2 / Race"
"32","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-196421","315499","Andy Kuhn","39","434","0","Running","-","0","","2:14.456","2:11.963","78","79","22","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"32","119","Porsche 718 Cayman GT4 Clubsport MR","2268","GT4 Class","-196421","347777","Frank Schlothmann","39","434","0","Running","-","0","","2:13.104","2:11.357","24","82","4","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"33","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-197239","-197239","SimRC $TCR 24hSeries","45","176","0","Running","-17 L","0","","2:15.500","2:14.144","52","159","6","","","100","0","24HE / Round 2 / Race"
"33","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-197239","168938","Jürgen Frank","45","176","0","Running","-","0","","2:15.739","2:14.171","17","79","3","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"33","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-197239","320670","Felix Luding","45","176","0","Running","-","0","","2:15.260","2:14.144","52","80","3","42","DE-AT-CH","100","0","24HE / Round 2 / Race"
"34","112","Audi RS 3 LMS","1450","Audi RS 3 LMS","-187813","-187813","SRC Squadra Corse TCR","44","113","0","Running","-17 L","0","","2:16.630","2:14.285","60","159","26","","","100","0","24HE / Round 2 / Race"
